,0
0,0
1,1402
2,1710
3,1889
4,2005
5,2083
6,2140
7,2184
8,2223
9,2247
10,2264
11,2281
12,2297
13,2309
14,2323
15,2336
16,2343
17,2355
18,2360
19,2363
20,2371
21,2378
22,2385
23,2392
24,2397
25,2402
26,2407
27,2411
28,2418
29,2425
30,2431
31,2437
32,2443
33,2449
34,2456
35,2463
36,2467
37,2470
38,2476
39,2481
40,2485
41,2489
42,2497
43,2503
44,2511
45,2517
46,2522
47,2525
48,2529
49,2533
50,2541
51,2544
52,2547
53,2550
54,2551
55,2560
56,2562
57,2563
58,2567
59,2569
60,2576
61,2580
62,2585
63,2589
64,2596
65,2602
66,2603
67,2608
68,2611
69,2612
70,2614
71,2616
72,2616
73,2617
74,2617
75,2617
76,2617
77,2617
